Species	Symbol	Ensembl	Family	Protein	Entrez_ID
Homo_sapiens	ATF1	ENSG00000123268	TF_bZIP	ENSP00000262053.3;	466
Homo_sapiens		ENSG00000254553	ZBTB	ENSP00000455300.1;ENSP00000455300.1;	NA
Homo_sapiens	SOX3	ENSG00000134595	HMG	ENSP00000359567.2;	6658
Homo_sapiens	SPIB	ENSG00000269404	ETS	ENSP00000391877.2;ENSP00000471921.1;	6689
Homo_sapiens	ZNF620	ENSG00000177842	zf-C2H2	ENSP00000391472.1;ENSP00000322265.6;	253639
Homo_sapiens	ZNF225	ENSG00000256294	zf-C2H2	ENSP00000262894.5;ENSP00000468686.1;	7768
Homo_sapiens	HOXD13	ENSG00000128714	Homeobox	ENSP00000376322.3;	3239
Homo_sapiens	NR1D1	ENSG00000126368	THR-like	ENSP00000246672.3;	9572
Homo_sapiens	FOXJ3	ENSG00000198815	Fork_head	ENSP00000354620.1;ENSP00000361654.1;ENSP00000439044.1;ENSP00000393408.1;ENSP00000354449.1;ENSP00000361653.1;ENSP00000403060.1;	22887
Homo_sapiens	ZBED3	ENSG00000132846	zf-BED	ENSP00000427487.1;ENSP00000255198.2;	84327
Homo_sapiens	BCL6B	ENSG00000161940	ZBTB	ENSP00000293805.5;ENSP00000293805.5;ENSP00000460282.1;ENSP00000445010.2;ENSP00000460071.1;	255877
Homo_sapiens	HAND2	ENSG00000164107	bHLH	ENSP00000427084.1;ENSP00000352565.4;	9464
Homo_sapiens	ZNF576	ENSG00000124444	zf-C2H2	ENSP00000435934.1;ENSP00000375827.2;ENSP00000435463.1;ENSP00000337852.4;ENSP00000436182.1;ENSP00000435899.1;	79177
Homo_sapiens	TBX3	ENSG00000135111	T-box	ENSP00000257567.2;ENSP00000257566.3;	6926
Homo_sapiens	FOXN2	ENSG00000170802	Fork_head	ENSP00000343633.3;ENSP00000388486.1;	3344
Homo_sapiens	BATF3	ENSG00000123685	TF_bZIP	ENSP00000243440.1;	55509
Homo_sapiens	ZNF792	ENSG00000180884	zf-C2H2	ENSP00000385099.1;ENSP00000474130.1;	126375
Homo_sapiens	ZNF717	ENSG00000227124	zf-C2H2	ENSP00000498738.1;ENSP00000419377.1;	100131827
